ICAO,id,ident,type,name,Weight,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,Alaska Airlines,American Airlines,Allegiant Air,Frontier Airlines,JetBlue Airways,Delta Air Lines,United Airlines,SkyWest Airlines,Southwest Airlines,Hawaiian Airlines,airline_count
KBMI,3419,KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,,40.47710037,-88.91590118,871,US,US-IL,Bloomington/Normal,N,N,Y,Y,N,N,N,Y,N,N,3
KTRI,3928,KTRI,large_airport,Tri-Cities Regional TN/VA Airport,,36.475201,-82.407401,1519,US,US-TN,Bristol/Johnson/Kingsport,N,N,Y,N,N,Y,N,N,N,N,2
KCID,3451,KCID,large_airport,The Eastern Iowa Airport,,41.88470078,-91.71080017,869,US,US-IA,Cedar Rapids,N,N,Y,Y,N,Y,Y,Y,N,N,5
KJQF,20220,KJQF,small_airport,Concord-Padgett Regional Airport,,35.387798,-80.709099,705,US,US-NC,Concord,N,N,Y,N,N,N,N,N,N,N,1
KCHA,3448,KCHA,large_airport,Lovell Field,,35.03530121,-85.20379639,683,US,US-TN,Chattanooga,N,N,Y,N,N,Y,N,Y,N,N,3
KMDW,3673,KMDW,large_airport,Chicago Midway International Airport,Hub,41.785999,-87.752403,620,US,US-IL,Chicago Midway,N,N,Y,N,N,Y,N,Y,Y,N,4
KRFD,3845,KRFD,large_airport,Chicago Rockford International Airport,,42.19540024,-89.09719849,742,US,US-IL,Chicago/Rockford,N,N,Y,N,N,N,N,N,N,N,1
KCKB,3453,KCKB,medium_airport,North Central West Virginia Airport,,39.29660034,-80.22810364,1217,US,US-WV,Clarksburg,N,N,Y,N,N,N,N,Y,N,N,2
KLCK,3638,KLCK,large_airport,Rickenbacker International Airport,,39.813801,-82.927803,744,US,US-OH,Columbus,N,N,Y,N,N,N,N,N,N,N,1
KDAY,3481,KDAY,large_airport,James M Cox Dayton International Airport,,39.90240097,-84.2193985,1009,US,US-OH,Dayton,N,N,Y,N,N,Y,N,Y,N,N,3
KELM,3510,KELM,medium_airport,Elmira Corning Regional Airport,,42.15990067,-76.89160156,954,US,US-NY,Elmira/Corning,N,N,Y,N,N,N,N,N,N,N,1
KEUG,3517,KEUG,medium_airport,Mahlon Sweet Field,,44.12459946,-123.211998,374,US,US-OR,Eugene,N,N,Y,N,N,Y,Y,Y,N,N,4
KEVV,3518,KEVV,medium_airport,Evansville Regional Airport,,38.03699875,-87.53240204,418,US,US-IN,Evansville,N,N,Y,N,N,N,N,Y,N,N,2
KFNT,3535,KFNT,medium_airport,Bishop International Airport,,42.9654007,-83.74359894,782,US,US-MI,Flint,N,N,Y,N,Y,Y,N,Y,N,N,4
KVPS,3948,KVPS,large_airport,Destin-Ft Walton Beach Airport,Focus,30.4832,-86.525398,87,US,US-FL,Valparaiso,N,N,Y,N,N,N,N,N,N,N,1
KFWA,3547,KFWA,large_airport,Fort Wayne International Airport,,40.97850037,-85.19509888,814,US,US-IN,Fort Wayne,N,N,Y,N,N,N,N,Y,N,N,2
KGFK,3553,KGFK,medium_airport,Grand Forks International Airport,,47.949299,-97.176102,845,US,US-ND,Grand Forks,N,N,Y,N,N,N,N,Y,N,N,2
KGRI,3564,KGRI,medium_airport,Central Nebraska Regional Airport,,40.96749878,-98.30960083,1847,US,US-NE,Grand Island,N,N,Y,N,N,N,N,N,N,N,1
KGJT,3557,KGJT,medium_airport,Grand Junction Regional Airport,,39.12239838,-108.5270004,4858,US,US-CO,Grand Junction,N,N,Y,N,N,N,N,Y,N,N,2
KGRR,3566,KGRR,medium_airport,Gerald R. Ford International Airport,Focus,42.88079834,-85.52279663,794,US,US-MI,Grand Rapids,N,N,Y,Y,N,Y,Y,Y,Y,N,6
KGTF,3571,KGTF,medium_airport,Great Falls International Airport,,47.48199844,-111.3710022,3680,US,US-MT,Great Falls,N,N,Y,N,N,N,N,Y,N,N,2
KGSP,3569,KGSP,large_airport,Greenville Spartanburg International Airport,,34.89569855,-82.21890259,964,US,US-SC,Greenville,N,N,Y,Y,N,Y,N,Y,Y,N,5
KGPT,3561,KGPT,large_airport,Gulfport Biloxi International Airport,,30.40730095,-89.07009888,28,US,US-MS,Gulfport,N,N,Y,N,N,Y,N,N,N,N,2
KHGR,3577,KHGR,medium_airport,Hagerstown Regional Richard A Henson Field,,39.707901,-77.72949982,703,US,US-MD,Hagerstown,N,N,Y,N,N,N,N,N,N,N,1
KHTS,3595,KHTS,large_airport,Tri-State/Milton J. Ferguson Field,,38.36669922,-82.55799866,828,US,US-WV,Huntington,N,N,Y,N,N,N,N,N,N,N,1
KIDA,3606,KIDA,medium_airport,Idaho Falls Regional Airport,,43.514599,-112.070999,4744,US,US-ID,Idaho Falls,N,N,Y,N,N,N,N,Y,N,N,2
KGPI,3527,KGPI,medium_airport,Glacier Park International Airport,,48.3105011,-114.2559967,2977,US,US-MT,Kalispell,N,N,Y,N,N,Y,Y,N,N,N,3
KLRD,3651,KLRD,medium_airport,Laredo International Airport,,27.54380035,-99.46160126,508,US,US-TX,Laredo,N,N,Y,N,N,N,N,N,N,N,1
KLEX,3640,KLEX,large_airport,Blue Grass Airport,,38.03649902,-84.60590363,979,US,US-KY,Lexington,N,N,Y,N,N,Y,N,Y,N,N,3
KLIT,3645,KLIT,large_airport,Bill & Hillary Clinton National Airport/Adams Field,,34.72940063,-92.22429657,262,US,US-AR,Little Rock,N,N,Y,Y,N,Y,N,Y,Y,N,5
KSDF,3873,KSDF,large_airport,Louisville Muhammad Ali International Airport,,38.1744,-85.736,501,US,US-KY,Louisville,N,N,Y,Y,N,Y,N,Y,Y,N,5
KMFE,3678,KMFE,medium_airport,Mc Allen Miller International Airport,,26.17580032,-98.23860168,107,US,US-TX,Mc Allen,N,N,Y,N,N,N,Y,N,N,N,2
KMFR,3679,KMFR,medium_airport,Rogue Valley International Medford Airport,,42.37419891,-122.8730011,1335,US,US-OR,Medford,N,N,Y,N,N,N,Y,Y,N,N,3
KMOT,3702,KMOT,medium_airport,Minot International Airport,,48.25939941,-101.2799988,1716,US,US-ND,Minot,N,N,Y,N,N,N,N,Y,N,N,2
KMLI,3695,KMLI,large_airport,Quad City International Airport,,41.44850159,-90.50749969,590,US,US-IL,Moline,N,N,Y,N,N,N,N,Y,N,N,2
